iter	Passed	Remaining
412	2795	3973
413	2801	3966
414	2808	3959
415	2812	3948
416	2819	3941
417	2826	3935
418	2829	3923
419	2836	3916
420	2838	3904
421	2845	3897
422	2850	3888
423	2857	3882
424	2860	3869
425	2866	3862
426	2869	3850
427	2875	3842
428	2881	3835
429	2888	3829
430	2895	3822
431	2902	3815
432	2906	3805
433	2912	3797
434	2917	3789
435	2923	3781
436	2929	3773
437	2931	3760
438	2937	3753
439	2941	3744
440	2947	3736
441	2953	3728
442	2961	3723
443	2967	3715
444	2973	3708
445	2975	3696
446	2981	3688
447	2988	3682
448	2991	3670
449	2996	3662
450	3002	3655
451	3008	3646
452	3015	3640
453	3021	3634
454	3027	3626
455	3033	3618
456	3039	3611
457	3045	3604
458	3051	3596
459	3057	3589
460	3063	3581
461	3070	3575
462	3075	3567
463	3081	3559
464	3087	3552
465	3093	3544
466	3099	3537
467	3106	3531
468	3112	3524
469	3119	3517
470	3125	3510
471	3131	3503
472	3137	3495
473	3142	3487
474	3149	3480
475	3152	3470
476	3157	3462
477	3164	3455
478	3169	3447
479	3176	3440
480	3181	3433
481	3187	3425
482	3192	3417
483	3198	3410
484	3203	3401
485	3209	3394
486	3216	3388
487	3222	3380
488	3228	3373
489	3234	3366
490	3241	3359
491	3247	3353
492	3253	3346
493	3260	3339
494	3266	3332
495	3273	3326
496	3279	3319
497	3285	3311
498	3291	3304
499	3297	3297
500	3303	3290
501	3305	3279
502	3311	3272
503	3317	3264
504	3323	3257
505	3330	3251
506	3337	3245
507	3344	3239
508	3350	3231
509	3357	3225
510	3363	3218
511	3370	3212
512	3376	3205
513	3382	3198
514	3389	3191
515	3395	3184
516	3402	3178
517	3408	3171
518	3414	3164
519	3421	3157
520	3427	3150
521	3433	3144
522	3439	3137
523	3446	3130
524	3452	3123
525	3458	3116
526	3465	3110
527	3471	3103
528	3478	3097
529	3484	3090
530	3492	3084
531	3499	3078
532	3505	3071
533	3512	3064
534	3519	3058
535	3525	3051
536	3531	3044
537	3537	3037
538	3543	3030
539	3549	3023
540	3556	3017
541	3562	3010
542	3568	3003
543	3574	2996
544	3580	2989
545	3587	2982
546	3593	2975
547	3599	2968
548	3606	2962
549	3612	2955
550	3619	2949
551	3627	2943
552	3634	2937
553	3641	2931
554	3648	2925
555	3656	2919
556	3663	2913
557	3670	2907
558	3677	2900
559	3684	2894
560	3691	2888
561	3698	2882
562	3705	2876
563	3712	2869
564	3719	2863
565	3726	2857
566	3733	2851
567	3740	2844
568	3747	2838
569	3755	2832
570	3762	2826
571	3769	2820
572	3775	2813
573	3783	2807
574	3789	2800
575	3797	2795
576	3804	2789
577	3812	2783
578	3818	2776
579	3824	2769
580	3831	2763
581	3837	2755
582	3843	2749
583	3849	2742
584	3855	2734
585	3862	2728
586	3868	2721
587	3875	2715
588	3881	2708
589	3888	2701
590	3894	2695
591	3901	2689
592	3909	2683
593	3915	2676
594	3922	2669
595	3929	2663
596	3936	2656
597	3942	2650
598	3948	2643
599	3955	2637
600	3962	2630
601	3969	2624
602	3975	2617
603	3981	2610
604	3988	2603
605	3994	2596
606	4000	2590
607	4007	2583
608	4013	2577
609	4021	2570
610	4027	2564
611	4033	2557
612	4040	2550
613	4046	2544
614	4053	2537
615	4059	2530
616	4066	2524
617	4072	2517
618	4079	2510
619	4086	2504
620	4093	2498
621	4100	2491
622	4106	2484
623	4112	2477
624	4118	2471
625	4125	2464
626	4131	2457
627	4137	2451
628	4143	2444
629	4150	2437
630	4156	2430
631	4163	2424
632	4169	2417
633	4175	2410
634	4181	2403
635	4189	2397
636	4195	2391
637	4202	2384
638	4208	2377
639	4214	2370
640	4220	2363
641	4227	2357
642	4233	2350
643	4239	2343
644	4246	2337
645	4252	2330
646	4259	2323
647	4265	2317
648	4272	2310
649	4278	2303
650	4285	2297
651	4292	2290
652	4298	2284
653	4305	2277
654	4312	2271
655	4319	2265
656	4326	2258
657	4333	2252
658	4339	2245
659	4346	2238
660	4353	2232
661	4359	2225
662	4365	2218
663	4371	2212
664	4376	2204
665	4382	2198
666	4389	2191
667	4395	2184
668	4402	2178
669	4409	2171
670	4416	2165
671	4423	2159
672	4429	2152
673	4436	2145
674	4442	2139
675	4449	2132
676	4455	2125
677	4461	2119
678	4468	2112
679	4474	2105
680	4480	2098
681	4486	2092
682	4493	2085
683	4500	2079
684	4506	2072
685	4512	2065
686	4518	2058
687	4525	2052
688	4531	2045
689	4537	2038
690	4544	2032
691	4550	2025
692	4557	2018
693	4563	2012
694	4570	2005
695	4576	1999
696	4583	1992
697	4590	1986
698	4597	1979
699	4604	1973
700	4610	1966
701	4617	1960
702	4623	1953
703	4629	1946
704	4636	1939
705	4642	1933
706	4648	1926
707	4655	1919
708	4661	1913
709	4667	1906
710	4674	1899
711	4680	1893
